Academic Terms Key,Term Code,Term Description,Term Selector,Term Start Date,Term End Date,Academic Year,Academic Year Desc,Is Current Term,Term Status Indicator,Financial Aid Year,Degree Year,Last Day Of Final Exam,Pre Registration Start Day,Registration Day,First Day Of Classes,Last Day Of Classes,Graduate Award Start Date,Graduate Award End Date,Warehouse Load Date
1989FA,1989FA,Fall Term 1988-1989,1989FA-Fall Term 1988-1989,09/12/1988,12/22/1988,1989,Academic Year 1988-1989,N,P,1989,1989,12/22/1988,"",09/12/1988,"","",09/01/1988,01/15/1989,01/08/2016
1989JA,1989JA,January Term 1988-1989,1989JA-January Term 1988-1989,01/09/1989,02/01/1989,1989,Academic Year 1988-1989,N,P,"","",02/01/1989,"",01/09/1989,"","","","",01/08/2016
1989SU,1989SU,Summer Term 1989,1989SU-Summer Term 1989,06/12/1989,08/23/1989,1989,Academic Year 1988-1989,N,P,1990,1990,08/23/1989,"",06/12/1989,"","",06/01/1989,08/31/1989,01/08/2016
1988FA,1988FA,Fall Term 1987-1988,1988FA-Fall Term 1987-1988,09/09/1987,12/18/1987,1988,Academic Year 1987-1988,N,P,1988,1988,12/18/1987,"",09/09/1987,"","",09/01/1987,01/15/1988,01/08/2016
1988JA,1988JA,January Term 1987-1988,1988JA-January Term 1987-1988,01/04/1988,01/27/1988,1988,Academic Year 1987-1988,N,P,"","",01/27/1988,"",01/04/1988,"","","","",01/08/2016
1988SP,1988SP,Spring Term 1987-1988,1988SP-Spring Term 1987-1988,02/01/1988,05/18/1988,1988,Academic Year 1987-1988,N,P,1988,1988,05/18/1988,"",02/01/1988,"","",01/16/1988,05/31/1988,01/08/2016
1988SU,1988SU,Summer Term 1988,1988SU-Summer Term 1988,06/06/1988,08/17/1988,1988,Academic Year 1987-1988,N,P,1989,1989,08/17/1988,"",06/06/1988,"","",06/01/1988,08/31/1988,01/08/2016
1987FA,1987FA,Fall Term 1986-1987,1987FA-Fall Term 1986-1987,09/08/1986,12/19/1986,1987,Academic Year 1986-1987,N,P,1987,1987,12/19/1986,"",09/08/1986,"","",09/01/1986,01/15/1987,01/08/2016
1987JA,1987JA,January Term 1986-1987,1987JA-January Term 1986-1987,01/05/1987,01/28/1987,1987,Academic Year 1986-1987,N,P,"","",01/28/1987,"",01/05/1987,"","","","",01/08/2016
1987SP,1987SP,Spring Term 1986-1987,1987SP-Spring Term 1986-1987,02/02/1987,05/20/1987,1987,Academic Year 1986-1987,N,P,1987,1987,05/20/1987,"",02/02/1987,"","",01/16/1987,05/31/1987,01/08/2016
