Subject Offered Summary Key,Composite Subject Key,Term Code,Course Number,Subject Id,Subject Id Sort,Subject Title,Master Subject Id,Master Subject Id Sort,Cluster Type,Cluster Type Desc,Cluster List,Hgn Code,Hgn Code Desc,Offer Dept Code,Offer Dept Name,Offer School Name,Responsible Faculty Name,Responsible Faculty Mit Id,Total Units,Lecture Units,Lab Units,Preparation Units,Subject Enrollment Number,Cluster Enrollment Number,Warehouse Load Date,Num Enrolled Students,Subject Grouping Key,Subject Summary Key
NS.4011998FA,NS.4011998FA,1998FA,NS,NS.401, NS.401,Leadership & Mgt I,NS.401, NS.401,,,,N,Not for graduate credit,NS,Naval Science (ROTC),"MIT, academic",,,6,3,0,3,21,,5/8/01 0:00,21,86CD649595450327E0440003BACE90BC,NS.4011998FA
NS.4101998FA,NS.4101998FA,1998FA,NS,NS.410, NS.410,Evol of Amphib Warfare,NS.410, NS.410,,,,N,Not for graduate credit,NS,Naval Science (ROTC),"MIT, academic",,,6,2,0,4,0,,5/8/01 0:00,0,86CD649595460327E0440003BACE90BC,NS.4101998FA
24.9531998FA,24.9531998FA,1998FA,24,24.953,24.953,Argument Structure and Syntax,24.953,24.953,,,,H,Higher level graduate program,24,Linguistics and Philosophy,"Hum, Arts & Social Sciences","Hale, Kenneth",900027516,12,3,0,9,0,,5/8/01 0:00,0,86CD649595280327E0440003BACE90BC,24.9531998FA
18.NIV1998FA,18.NIV1998FA,1998FA,18,18.NIV, 18.NIV,Visiting Student Research,18.NIV, 18.NIV,,,,N,Not for graduate credit,18,Mathematics,Science,,,1,0,1,0,6,,5/8/01 0:00,6,86CD649594F00327E0440003BACE90BC,18.NIV1998FA
18.UR1998FA,18.UR1998FA,1998FA,18,18.UR, 18.UR,Undergraduate Research,18.UR, 18.UR,,,,N,Not for graduate credit,18,Mathematics,Science,"Artin, Michael",900020232,1,0,1,0,2,,5/8/01 0:00,2,86CD649590D00327E0440003BACE90BC,18.UR1998FA
21.F1031998FA,21.F1031998FA,1998FA,21,21.F103, 21.F103,Chinese III,21.F103, 21.F103,,,,N,Not for graduate credit,21,Humanities,"Hum, Arts & Social Sciences",,,12,4,0,8,0,,5/8/01 0:00,0,86CD6495956D0327E0440003BACE90BC,21.F1031998FA
21.UR1998FA,21.UR1998FA,1998FA,21,21.UR, 21.UR,Undergraduate Research,21.UR, 21.UR,,,,N,Not for graduate credit,21,Humanities,"Hum, Arts & Social Sciences","Davis, Bette",900027105,1,0,1,0,0,,5/8/01 0:00,0,86CD649590FA0327E0440003BACE90BC,21.UR1998FA
22.0311998FA,22.3121998FA,1998FA,22,22.031,22.031,Engineering: Nuclear Reactors,22.312,22.312,M,Meeting Together,"22.031, 22.312",N,Not for graduate credit,22,Nuclear Engineering,Engineering,"Todreas, Neil",900003509,12,3,0,9,1,14,5/8/01 0:00,1,86CD649595050327E0440003BACE90BC,22.0311998FA
22.0921998FA,22.0921998FA,1998FA,22,22.092,22.092,Engineering Internship,22.092,22.092,,,,N,Not for graduate credit,22,Nuclear Engineering,Engineering,"Meyer, John",900021342,6,0,6,0,0,,5/8/01 0:00,0,86CD649595000327E0440003BACE90BC,22.0921998FA
17.5771998FA,17.5771998FA,1998FA,17,17.577,17.577,Pol of Change in Third World,17.577,17.577,,,,N,Not for graduate credit,17,Political Science,"Hum, Arts & Social Sciences",,,12,3,0,9,17,,5/8/01 0:00,17,86CD649594930327E0440003BACE90BC,17.5771998FA
22.3121998FA,22.3121998FA,1998FA,22,22.312,22.312,Engineering: Nuclear Reactors,22.312,22.312,M,Meeting Together,"22.031, 22.312",H,Higher level graduate program,22,Nuclear Engineering,Engineering,"Todreas, Neil",900003509,12,3,0,9,13,14,5/8/01 0:00,13,86CD649595050327E0440003BACE90BC,22.3121998FA
22.5621998FA,22.5621998FA,1998FA,22,22.562,22.562,Spatial Aspects of NMR,22.562,22.562,J,Joint subject,"22.562, HST.562",H,Higher level graduate program,22,Nuclear Engineering,Engineering,"Cory, David",900005164,12,3,0,9,6,9,5/8/01 0:00,6,86CD649595060327E0440003BACE90BC,22.5621998FA
22.5711998FA,2.4511998FA,1998FA,22,22.571,22.571,General Thermodynamics,2.451,2.451,J,Joint subject,"2.451, 22.571",H,Higher level graduate program,22,Nuclear Engineering,Engineering,"Smith, Joseph",900008806,12,3,0,9,1,31,5/8/01 0:00,1,86CD649590E40327E0440003BACE90BC,22.5711998FA
22.721998FA,3.541998FA,1998FA,22,22.72,22.72,Corrosion:Degradation of Mtls,3.54,3.54,J,Joint subject,"3.54, 22.72",H,Higher level graduate program,22,Nuclear Engineering,Engineering,"Latanision, Ronald",900021173,12,3,0,9,0,7,5/8/01 0:00,0,86CD649590170327E0440003BACE90BC,22.721998FA
12.7211998SP,12.7211998SP,1998SP,12,12.721,12.721,Marine Geology & Geophys: WHOI,12.721,12.721,,,,H,Higher level graduate program,12,"Earth, Atmos & Planetary Sci",Science,"Peirson, A",JPEIRWHOI,1,0,1,0,4,,5/8/01 0:00,4,86CD64959AC00327E0440003BACE90BC,12.7211998SP
12.7461998SP,12.7461998SP,1998SP,12,12.746,12.746,Marine Organic Geochemistry,12.746,12.746,,,,H,Higher level graduate program,12,"Earth, Atmos & Planetary Sci",Science,"Sewell, Scott",900044622,9,3,0,6,0,,5/8/01 0:00,0,86CD64959AC40327E0440003BACE90BC,12.7461998SP
12.7531998SP,12.7531998SP,1998SP,12,12.753,12.753,Sem:Oceanography At WHOI,12.753,12.753,,,,H,Higher level graduate program,12,"Earth, Atmos & Planetary Sci",Science,"Peirson, A",JPEIRWHOI,1,0,1,0,10,,5/8/01 0:00,10,86CD64959AC70327E0440003BACE90BC,12.7531998SP
12.7221998SP,12.7221998SP,1998SP,12,12.722,12.722,Chemical Oceanography: WHOI,12.722,12.722,,,,H,Higher level graduate program,12,"Earth, Atmos & Planetary Sci",Science,"Peirson, A",JPEIRWHOI,1,0,1,0,2,,5/8/01 0:00,2,86CD64959AC10327E0440003BACE90BC,12.7221998SP
12.7601998SP,12.7601998SP,1998SP,12,12.76,12.76,Sem in Marine Geol&Geophys:MIT,12.76,12.76,,,,H,Higher level graduate program,12,"Earth, Atmos & Planetary Sci",Science,"Sewell, Scott",900044622,1,0,1,0,0,,5/8/01 0:00,0,86CD64959ACE0327E0440003BACE90BC,12.7601998SP
12.7711998SP,12.7711998SP,1998SP,12,12.771,12.771,Sem in Chem Oceanography: MIT,12.771,12.771,,,,H,Higher level graduate program,12,"Earth, Atmos & Planetary Sci",Science,"Sewell, Scott",900044622,1,0,1,0,0,,5/8/01 0:00,0,86CD64959AD10327E0440003BACE90BC,12.7711998SP
12.8111998SP,12.8111998SP,1998SP,12,12.811,12.811,Tropical Meteorology,12.811,12.811,M,Meeting Together,,H,Higher level graduate program,12,"Earth, Atmos & Planetary Sci",Science,"Plumb, Raymond",900006372,12,3,0,9,9,,5/8/01 0:00,9,86CD64959AD70327E0440003BACE90BC,12.8111998SP
12.8261998SP,1.7131998SP,1998SP,12,12.826,12.826,Land-Atmosphere Interaction,1.713,1.713,J,Joint subject,"1.713, 12.826",H,Higher level graduate program,12,"Earth, Atmos & Planetary Sci",Science,"Entekhabi, Dara",900003281,12,3,0,9,4,13,5/8/01 0:00,4,86CD649598210327E0440003BACE90BC,12.8261998SP
10.5421998SP,10.5421998SP,1998SP,10,10.542,10.542,Biochemical Engineering,10.542,10.542,M,Meeting Together,"10.442, 10.542",H,Higher level graduate program,10,Chemical Engineering,Engineering,"Cooney, Charles",900020773,9,3,0,6,8,10,5/8/01 0:00,8,86CD64959A380327E0440003BACE90BC,10.5421998SP
18.7351998SP,18.7351998SP,1998SP,18,18.735,18.735,Topics in Algebra,18.735,18.735,,,,H,Higher level graduate program,18,Mathematics,Science,"Kac, Victor",900017058,12,3,0,9,5,,5/8/01 0:00,5,86CD64959C550327E0440003BACE90BC,18.7351998SP
HAA.53171998SP,HAA.00001998SP,1998SP,HAA,HAA.5317,HAA.5317,Phys 264:Group Theory,HAA.0000,HAA.0000,S,SWE: School-Wide Electives,,H,Higher level graduate program,NIH,Harvard Cross-Enrollment Prog,Non-MIT,,,12,0,12,0,0,,5/8/01 0:00,0,,HAA.53171998SP
HAA.53951998SP,HAA.00001998SP,1998SP,HAA,HAA.5395,HAA.5395,Thai 101A:Intro Thai,HAA.0000,HAA.0000,S,SWE: School-Wide Electives,,G,Graduate program,NIH,Harvard Cross-Enrollment Prog,Non-MIT,,,1,0,1,0,0,,5/8/01 0:00,0,,HAA.53951998SP
HAA.54181998SP,HAA.00001998SP,1998SP,HAA,HAA.5418,HAA.5418,Seminar:The Modern State,HAA.0000,HAA.0000,S,SWE: School-Wide Electives,,G,Graduate program,NIH,Harvard Cross-Enrollment Prog,Non-MIT,,,1,0,1,0,0,,5/8/01 0:00,0,,HAA.54181998SP
HAA.54421998SP,HAA.00001998SP,1998SP,HAA,HAA.5442,HAA.5442,Politics of Intl Finance,HAA.0000,HAA.0000,S,SWE: School-Wide Electives,,G,Graduate program,NIH,Harvard Cross-Enrollment Prog,Non-MIT,,,1,0,1,0,0,,5/8/01 0:00,0,,HAA.54421998SP
HAA.54611998SP,HAA.00001998SP,1998SP,HAA,HAA.5461,HAA.5461,Jewish Stud 111: Modrn Thought,HAA.0000,HAA.0000,S,SWE: School-Wide Electives,,H,Higher level graduate program,NIH,Harvard Cross-Enrollment Prog,Non-MIT,,,12,0,12,0,0,,5/8/01 0:00,0,,HAA.54611998SP
HAA.54861998SP,HAA.00001998SP,1998SP,HAA,HAA.5486,HAA.5486,Four Jewish Philosophers,HAA.0000,HAA.0000,S,SWE: School-Wide Electives,,H,Higher level graduate program,NIH,Harvard Cross-Enrollment Prog,Non-MIT,,,12,0,12,0,0,,5/8/01 0:00,0,,HAA.54861998SP
HAA.54951998SP,HAA.00001998SP,1998SP,HAA,HAA.5495,HAA.5495,CS 275: Adv Computer Graphics,HAA.0000,HAA.0000,S,SWE: School-Wide Electives,,H,Higher level graduate program,NIH,Harvard Cross-Enrollment Prog,Non-MIT,,,12,0,12,0,0,,5/8/01 0:00,0,,HAA.54951998SP
HAA.53471998SP,HAA.00001998SP,1998SP,HAA,HAA.5347,HAA.5347,Eng Czr:Adv Nonfiction Writing,HAA.0000,HAA.0000,S,SWE: School-Wide Electives,,N,Not for graduate credit,NIH,Harvard Cross-Enrollment Prog,Non-MIT,,,12,0,12,0,0,,5/8/01 0:00,0,,HAA.53471998SP
HAA.55491998SP,HAA.00001998SP,1998SP,HAA,HAA.5549,HAA.5549,Econ 1430:Macroecon & Politics,HAA.0000,HAA.0000,S,SWE: School-Wide Electives,,H,Higher level graduate program,NIH,Harvard Cross-Enrollment Prog,Non-MIT,,,12,0,12,0,0,,5/8/01 0:00,0,,HAA.55491998SP
HAA.55961998SP,HAA.00001998SP,1998SP,HAA,HAA.5596,HAA.5596,Soc 278:Instit Analysis Seminr,HAA.0000,HAA.0000,S,SWE: School-Wide Electives,,G,Graduate program,NIH,Harvard Cross-Enrollment Prog,Non-MIT,,,12,3,0,9,0,,5/8/01 0:00,0,,HAA.55961998SP
HAA.56901998SP,HAA.00001998SP,1998SP,HAA,HAA.5690,HAA.5690,Engl 102:Anglo-Saxon Language,HAA.0000,HAA.0000,S,SWE: School-Wide Electives,,H,Higher level graduate program,NIH,Harvard Cross-Enrollment Prog,Non-MIT,,,12,0,12,0,0,,5/8/01 0:00,0,,HAA.56901998SP
HAA.57231998SP,HAA.00001998SP,1998SP,HAA,HAA.5723,HAA.5723,Korean 104a:Rdgs Contem Korean,HAA.0000,HAA.0000,S,SWE: School-Wide Electives,,H,Higher level graduate program,NIH,Harvard Cross-Enrollment Prog,Non-MIT,,,12,0,12,0,0,,5/8/01 0:00,0,,HAA.57231998SP
HAA.57451998SP,HAA.00001998SP,1998SP,HAA,HAA.5745,HAA.5745,Psych 3495:Research Design,HAA.0000,HAA.0000,S,SWE: School-Wide Electives,,H,Higher level graduate program,NIH,Harvard Cross-Enrollment Prog,Non-MIT,,,12,0,12,0,0,,5/8/01 0:00,0,,HAA.57451998SP
HAA.57921998SP,HAA.00001998SP,1998SP,HAA,HAA.5792,HAA.5792,Religion 1477: Pentecostalism,HAA.0000,HAA.0000,S,SWE: School-Wide Electives,,H,Higher level graduate program,NIH,Harvard Cross-Enrollment Prog,Non-MIT,,,12,0,12,0,0,,5/8/01 0:00,0,,HAA.57921998SP
HAA.58081998SP,HAA.00001998SP,1998SP,HAA,HAA.5808,HAA.5808,"Lit A-22:Poems,Poets,Poetry",HAA.0000,HAA.0000,S,SWE: School-Wide Electives,,N,Not for graduate credit,NIH,Harvard Cross-Enrollment Prog,Non-MIT,,,12,0,12,0,0,,5/8/01 0:00,0,,HAA.58081998SP
HAA.58551998SP,HAA.00001998SP,1998SP,HAA,HAA.5855,HAA.5855,Ling 278:Romance Syntax,HAA.0000,HAA.0000,S,SWE: School-Wide Electives,,H,Higher level graduate program,NIH,Harvard Cross-Enrollment Prog,Non-MIT,,,12,0,12,0,0,,5/8/01 0:00,0,,HAA.58551998SP
HAA.58891998SP,HAA.00001998SP,1998SP,HAA,HAA.5889,HAA.5889,Econ 1445:Corporate Finance,HAA.0000,HAA.0000,S,SWE: School-Wide Electives,,G,Graduate program,NIH,Harvard Cross-Enrollment Prog,Non-MIT,,,12,3,0,9,0,,5/8/01 0:00,0,,HAA.58891998SP
HAA.59111998SP,HAA.00001998SP,1998SP,HAA,HAA.5911,HAA.5911,The Comic Imagination,HAA.0000,HAA.0000,S,SWE: School-Wide Electives,,G,Graduate program,NIH,Harvard Cross-Enrollment Prog,Non-MIT,,,1,0,1,0,0,,5/8/01 0:00,0,,HAA.59111998SP
HAA.59201998SP,HAA.00001998SP,1998SP,HAA,HAA.5920,HAA.5920,Advanced Arabic,HAA.0000,HAA.0000,S,SWE: School-Wide Electives,,G,Graduate program,NIH,Harvard Cross-Enrollment Prog,Non-MIT,,,1,0,1,0,0,,5/8/01 0:00,0,,HAA.59201998SP
HAA.59531998SP,HAA.00001998SP,1998SP,HAA,HAA.5953,HAA.5953,Comp/Creative Writing,HAA.0000,HAA.0000,S,SWE: School-Wide Electives,,G,Graduate program,NIH,Harvard Cross-Enrollment Prog,Non-MIT,,,1,0,1,0,0,,5/8/01 0:00,0,,HAA.59531998SP
HAA.59991998SP,HAA.00001998SP,1998SP,HAA,HAA.5999,HAA.5999,Moral Dilemmas,HAA.0000,HAA.0000,S,SWE: School-Wide Electives,,G,Graduate program,NIH,Harvard Cross-Enrollment Prog,Non-MIT,,,1,0,1,0,0,,5/8/01 0:00,0,,HAA.59991998SP
HAA.66981998SP,HAA.00001998SP,1998SP,HAA,HAA.6698,HAA.6698,American Political Devel,HAA.0000,HAA.0000,S,SWE: School-Wide Electives,,G,Graduate program,NIH,Harvard Cross-Enrollment Prog,Non-MIT,,,1,0,1,0,0,,5/8/01 0:00,0,,HAA.66981998SP
HAA.67251998SP,HAA.00001998SP,1998SP,HAA,HAA.6725,HAA.6725,Modern Irish,HAA.0000,HAA.0000,S,SWE: School-Wide Electives,,G,Graduate program,NIH,Harvard Cross-Enrollment Prog,Non-MIT,,,1,0,1,0,0,,5/8/01 0:00,0,,HAA.67251998SP
8.191998FA,8.191998FA,1998FA,8,8.19,8.19,Readings in Physics,8.19,8.19,,,,N,Not for graduate credit,8,Physics,Science,"Belcher, John",900026260,1,0,1,0,0,,5/8/01 0:00,0,86CD6495904C0327E0440003BACE90BC,8.191998FA
8.051998FA,8.051998FA,1998FA,8,8.05,8.05,Quantum Physics II,8.05,8.05,,,,N,Not for graduate credit,8,Physics,Science,"Rajagopal, Krishna",900045440,12,5,0,7,33,,5/8/01 0:00,33,86CD649590480327E0440003BACE90BC,8.051998FA
12.7211998FA,12.7211998FA,1998FA,12,12.721,12.721,Marine Geology & Geophys: WHOI,12.721,12.721,,,,H,Higher level graduate program,12,"Earth, Atmos & Planetary Sci",Science,"Peirson, A",JPEIRWHOI,1,0,1,0,5,,5/8/01 0:00,5,86CD649593460327E0440003BACE90BC,12.7211998FA
12.7311998FA,12.7311998FA,1998FA,12,12.731,12.731,Marine Geology & Geophys: MIT,12.731,12.731,,,,H,Higher level graduate program,12,"Earth, Atmos & Planetary Sci",Science,"Jordan, Thomas",900022956,1,0,1,0,1,,5/8/01 0:00,1,86CD649593490327E0440003BACE90BC,12.7311998FA
12.7421998FA,12.7421998FA,1998FA,12,12.742,12.742,Marine Chemistry,12.742,12.742,,,,H,Higher level graduate program,12,"Earth, Atmos & Planetary Sci",Science,"Sholkovitz, E",ESHOL12,12,3,0,9,9,,5/8/01 0:00,9,86CD6495934D0327E0440003BACE90BC,12.7421998FA
12.7511998FA,12.7511998FA,1998FA,12,12.751,12.751,Sem:Oceanography At WHOI,12.751,12.751,,,,H,Higher level graduate program,12,"Earth, Atmos & Planetary Sci",Science,"Schouten, Hans",SCHO12,1,0,1,0,9,,5/8/01 0:00,9,86CD6495934F0327E0440003BACE90BC,12.7511998FA
12.7531998FA,12.7531998FA,1998FA,12,12.753,12.753,Sem:Oceanography At WHOI,12.753,12.753,,,,H,Higher level graduate program,12,"Earth, Atmos & Planetary Sci",Science,"Peirson, A",JPEIRWHOI,1,0,1,0,0,,5/8/01 0:00,0,86CD649593510327E0440003BACE90BC,12.7531998FA
12.7561998FA,12.7561998FA,1998FA,12,12.756,12.756,Sem:Oceanography At WHOI,12.756,12.756,,,,H,Higher level graduate program,12,"Earth, Atmos & Planetary Sci",Science,"Burns, Dan",900008954,1,0,1,0,0,,5/8/01 0:00,0,86CD649593540327E0440003BACE90BC,12.7561998FA
12.7591998FA,12.7591998FA,1998FA,12,12.759,12.759,Sem:Oceanography At WHOI,12.759,12.759,,,,H,Higher level graduate program,12,"Earth, Atmos & Planetary Sci",Science,"Peirson, A",JPEIRWHOI,1,0,1,0,0,,5/8/01 0:00,0,86CD649593570327E0440003BACE90BC,12.7591998FA
12.8031998FA,12.8031998FA,1998FA,12,12.803,12.803,Quasi-Balanced Circulations,12.803,12.803,,,,H,Higher level graduate program,12,"Earth, Atmos & Planetary Sci",Science,"Flierl, Glenn",900023387,12,3,0,9,12,,5/8/01 0:00,12,86CD649593590327E0440003BACE90BC,12.8031998FA
12.8201998FA,12.8201998FA,1998FA,12,12.82,12.82,Instability: Geophysical Sys,12.82,12.82,,,,H,Higher level graduate program,12,"Earth, Atmos & Planetary Sci",Science,"Burns, Dan",900008954,12,3,0,9,0,,5/8/01 0:00,0,86CD6495935E0327E0440003BACE90BC,12.8201998FA
12.8421998FA,12.8421998FA,1998FA,12,12.842,12.842,Climate Physics & Chemistry I,12.842,12.842,,,,H,Higher level graduate program,12,"Earth, Atmos & Planetary Sci",Science,"Emanuel, Kerry",900022921,12,3,0,9,15,,5/8/01 0:00,15,86CD649593600327E0440003BACE90BC,12.8421998FA
12.9601998FA,12.9601998FA,1998FA,12,12.96,12.96,Sp Probs: Phys Oceanogr at MIT,12.96,12.96,,,,H,Higher level graduate program,12,"Earth, Atmos & Planetary Sci",Science,"Burns, Dan",900008954,1,0,1,0,0,,5/8/01 0:00,0,86CD649593640327E0440003BACE90BC,12.9601998FA
12.9711998FA,12.9711998FA,1998FA,12,12.971,12.971,Sp Probs: Phys Oceanog at WHOI,12.971,12.971,,,,H,Higher level graduate program,12,"Earth, Atmos & Planetary Sci",Science,"Burns, Dan",900008954,1,0,1,0,0,,5/8/01 0:00,0,86CD649593670327E0440003BACE90BC,12.9711998FA
12.9901998FA,12.9901998FA,1998FA,12,12.99,12.99,Spec Subject-Meteorology,12.99,12.99,,,,H,Higher level graduate program,12,"Earth, Atmos & Planetary Sci",Science,"Burns, Dan",900008954,1,0,1,0,0,,5/8/01 0:00,0,86CD6495936A0327E0440003BACE90BC,12.9901998FA
12.A191998FA,12.A191998FA,1998FA,12,12.A19, 12.A19,Earthquakes,12.A19, 12.A19,,,,N,Not for graduate credit,12,"Earth, Atmos & Planetary Sci",Science,"Marone, Chris",900018143,6,2,0,4,6,,5/8/01 0:00,6,86CD6495936E0327E0440003BACE90BC,12.A191998FA
12.A281998FA,12.A281998FA,1998FA,12,12.A28, 12.A28,Cartography,12.A28, 12.A28,,,,N,Not for graduate credit,12,"Earth, Atmos & Planetary Sci",Science,,,6,2,0,4,5,,5/8/01 0:00,5,86CD649593710327E0440003BACE90BC,12.A281998FA
12.A291998FA,12.A291998FA,1998FA,12,12.A29, 12.A29,Murder on Meteorite Express,12.A29, 12.A29,,,,N,Not for graduate credit,12,"Earth, Atmos & Planetary Sci",Science,,,6,2,0,4,0,,5/8/01 0:00,0,86CD649593720327E0440003BACE90BC,12.A291998FA
12.S221998FA,12.S221998FA,1998FA,12,12.S22, 12.S22,Hands-On Astronomy,12.S22, 12.S22,,,,N,Not for graduate credit,12,"Earth, Atmos & Planetary Sci",Science,"Counselman, Charles",CCOUN12,6,2,0,4,0,,5/8/01 0:00,0,86CD649593740327E0440003BACE90BC,12.S221998FA
11.3311998FA,4.2421998FA,1998FA,11,11.331,11.331,Advanced Seminar in City Form,4.242,4.242,J,Joint subject,"4.242, 11.331",H,Higher level graduate program,11,Urban Studies and Planning,Architecture and Planning,"Beinart, Julian",900007226,1,0,1,0,1,13,5/8/01 0:00,1,86CD6495914C0327E0440003BACE90BC,11.3311998FA
11.3401998FA,11.3401998FA,1998FA,11,11.34,11.34,Legal Issues in Devel Process,11.34,11.34,J,Joint subject,"11.340, 15.658",H,Higher level graduate program,11,Urban Studies and Planning,Architecture and Planning,"Bacow, Lawrence",900025190,12,3,0,9,52,56,5/8/01 0:00,52,86CD649592F40327E0440003BACE90BC,11.3401998FA
11.3821998FA,1.2591998FA,1998FA,11,11.382,11.382,Transit Management,1.259,1.259,J,Joint subject,"1.259, 11.382",H,Higher level graduate program,11,Urban Studies and Planning,Architecture and Planning,"Wilson, Nigel",900029642,9,3,0,6,1,9,5/8/01 0:00,1,86CD649590670327E0440003BACE90BC,11.3821998FA
11.4271998FA,15.6771998FA,1998FA,11,11.427,11.427,Pub Policy & Human Resources,15.677,15.677,J,Joint subject,"11.427, 15.677",H,Higher level graduate program,11,Urban Studies and Planning,Architecture and Planning,"Osterman, Paul",900021651,9,3,0,6,5,9,5/8/01 0:00,5,86CD649594220327E0440003BACE90BC,11.4271998FA
11.5261998FA,1.2031998FA,1998FA,11,11.526,11.526,Logistical &Transport Planning,1.203,1.203,J,Joint subject,"1.203, 6.281, 11.526, 13.665, 15.073, 16.76",H,Higher level graduate program,11,Urban Studies and Planning,Architecture and Planning,"Odoni, Amedeo",900004585,12,3,0,9,1,25,5/8/01 0:00,1,86CD649590650327E0440003BACE90BC,11.5261998FA
11.9001998FA,11.9001998FA,1998FA,11,11.9,11.9,Doctoral Proseminars,11.9,11.9,,,,H,Higher level graduate program,11,Urban Studies and Planning,Architecture and Planning,"Sanyal, Bishwapriya",900027255,1,0,1,0,0,,5/8/01 0:00,0,86CD649593020327E0440003BACE90BC,11.9001998FA
11.9211998FA,11.9211998FA,1998FA,11,11.921,11.921,Spec Sems: Real Estate Develop,11.921,11.921,,,,H,Higher level graduate program,11,Urban Studies and Planning,Architecture and Planning,"Sanyal, Bishwapriya",900027255,1,0,1,0,0,,5/8/01 0:00,0,86CD649593050327E0440003BACE90BC,11.9211998FA
11.9471998FA,11.9471998FA,1998FA,11,11.947,11.947,Spec Studies: Urb Studies &Pl,11.947,11.947,,,,H,Higher level graduate program,11,Urban Studies and Planning,Architecture and Planning,"Vale, Lawrence",900024145,1,0,1,0,7,,5/8/01 0:00,7,86CD6495930A0327E0440003BACE90BC,11.9471998FA
11.9561998FA,11.9561998FA,1998FA,11,11.956,11.956,Spec Studies: Urb Studies &Pl,11.956,11.956,,,,H,Higher level graduate program,11,Urban Studies and Planning,Architecture and Planning,"Sanyal, Bishwapriya",900027255,1,0,1,0,0,,5/8/01 0:00,0,86CD6495930E0327E0440003BACE90BC,11.9561998FA
18.031997SU,18.031997SU,1997SU,18,18.03,18.03,Differential Equations,18.03,18.03,,,,N,Not for graduate credit,18,Mathematics,Science,,,12,5,0,7,7,,5/8/01 0:00,7,86CD64958F070327E0440003BACE90BC,18.031997SU
18.0751997SU,18.0751997SU,1997SU,18,18.075,18.075,Adv Calculus for Engineers I,18.075,18.075,,,,H,Higher level graduate program,18,Mathematics,Science,,,12,3,0,9,31,,5/8/01 0:00,31,86CD64958F9C0327E0440003BACE90BC,18.0751997SU
18.0761997SU,18.0761997SU,1997SU,18,18.076,18.076,Adv Calculus for Engineers II,18.076,18.076,,,,H,Higher level graduate program,18,Mathematics,Science,,,12,3,0,9,7,,5/8/01 0:00,7,86CD64958F9D0327E0440003BACE90BC,18.0761997SU
18.0851997SU,18.0851997SU,1997SU,18,18.085,18.085,Math Methods for Engineers I,18.085,18.085,,,,H,Higher level graduate program,18,Mathematics,Science,,,12,3,0,9,32,,5/8/01 0:00,32,86CD64958F9E0327E0440003BACE90BC,18.0851997SU
18.0891997SU,18.0891997SU,1997SU,18,18.089,18.089,Review of Mathematics,18.089,18.089,,,,G,Graduate program,18,Mathematics,Science,,,1,0,1,0,6,,5/8/01 0:00,6,86CD64958FA00327E0440003BACE90BC,18.0891997SU
18.1001997SU,18.1001997SU,1997SU,18,18.1,18.1,Analysis I,18.1,18.1,,,,H,Higher level graduate program,18,Mathematics,Science,,,12,3,0,9,0,,5/8/01 0:00,0,86CD64958FA10327E0440003BACE90BC,18.1001997SU
18.4101997SU,6.0461997SU,1997SU,18,18.41,18.41,Intro to Algorithms,6.046,6.046,J,Joint subject,"6.046, 18.410",N,Not for graduate credit,18,Mathematics,Science,"Goemans, Michel",900008602,12,4,0,8,0,0,5/8/01 0:00,0,86CD64958F260327E0440003BACE90BC,18.4101997SU
18.NIV1997SU,18.NIV1997SU,1997SU,18,18.NIV, 18.NIV,Visiting Student Research,18.NIV, 18.NIV,,,,N,Not for graduate credit,18,Mathematics,Science,,,40,0,40,0,1,,5/8/01 0:00,1,,18.NIV1997SU
18.THG1997SU,18.THG1997SU,1997SU,18,18.THG, 18.THG,Graduate Thesis,18.THG, 18.THG,,,,H,Higher level graduate program,18,Mathematics,Science,,,1,0,1,0,17,,5/8/01 0:00,17,86CD64958FA50327E0440003BACE90BC,18.THG1997SU
20.THG1997SU,20.THG1997SU,1997SU,20,20.THG, 20.THG,Thesis,20.THG, 20.THG,,,,H,Higher level graduate program,20,Prog in Applied Biological Sci,Science,,,1,0,1,0,0,,5/8/01 0:00,0,86CD64958FA60327E0440003BACE90BC,20.THG1997SU
22.9011997SU,22.9011997SU,1997SU,22,22.901,22.901,Spec Prob: Nuclear Eng,22.901,22.901,,,,H,Higher level graduate program,22,Nuclear Engineering,Engineering,,,1,0,1,0,11,,5/8/01 0:00,11,86CD64958FA80327E0440003BACE90BC,22.9011997SU
22.9021997SU,22.9021997SU,1997SU,22,22.902,22.902,Spec Prob: Nuclear Eng,22.902,22.902,,,,H,Higher level graduate program,22,Nuclear Engineering,Engineering,,,1,0,1,0,3,,5/8/01 0:00,3,86CD64958FA90327E0440003BACE90BC,22.9021997SU
22.NIV1997SU,22.NIV1997SU,1997SU,22,22.NIV, 22.NIV,Visiting Student Research,22.NIV, 22.NIV,,,,N,Not for graduate credit,22,Nuclear Engineering,Engineering,,,40,0,40,0,3,,5/8/01 0:00,3,,22.NIV1997SU
22.THG1997SU,22.THG1997SU,1997SU,22,22.THG, 22.THG,Graduate Thesis,22.THG, 22.THG,,,,H,Higher level graduate program,22,Nuclear Engineering,Engineering,,,1,0,1,0,48,,5/8/01 0:00,48,86CD64958FAC0327E0440003BACE90BC,22.THG1997SU
