Subject Offered Summary Key,Composite Subject Key,Term Code,Course Number,Subject Id,Subject Id Sort,Subject Title,Master Subject Id,Master Subject Id Sort,Cluster Type,Cluster Type Desc,Cluster List,Hgn Code,Hgn Code Desc,Offer Dept Code,Offer Dept Name,Offer School Name,Responsible Faculty Name,Responsible Faculty Mit Id,Total Units,Lecture Units,Lab Units,Preparation Units,Subject Enrollment Number,Cluster Enrollment Number,Warehouse Load Date,Num Enrolled Students,Subject Grouping Key,Subject Summary Key
9.5911998SP,9.5911998SP,1998SP,9,9.591,9.591,Language Processing,9.591,9.591,,,"9.591, 24.945",H,Higher level graduate program,9,Brain and Cognitive Sciences,Science,"Gibson, E",900020963,9,3,0,6,3,5,5/8/01 0:00,3,86CD64959A230327E0440003BACE90BC,9.5911998SP
HAA.41531998SP,HAA.00001998SP,1998SP,HAA,HAA.4153,HAA.4153,VES 20ar:Fundamentals Painting,HAA.0000,HAA.0000,S,SWE: School-Wide Electives,,N,Not for graduate credit,NIH,Harvard Cross-Enrollment Prog,Non-MIT,,,12,0,12,0,0,,5/8/01 0:00,0,,HAA.41531998SP
HAA.09071998SP,HAA.00001998SP,1998SP,HAA,HAA.0907,HAA.0907,Gov 1208: Islamic Resurge,HAA.0000,HAA.0000,S,SWE: School-Wide Electives,,G,Graduate program,NIH,Harvard Cross-Enrollment Prog,Non-MIT,,,1,0,1,0,0,,5/8/01 0:00,0,,HAA.09071998SP
HAA.23541998SP,HAA.00001998SP,1998SP,HAA,HAA.2354,HAA.2354,AAS 123z:American Democracy,HAA.0000,HAA.0000,S,SWE: School-Wide Electives,,H,Higher level graduate program,NIH,Harvard Cross-Enrollment Prog,Non-MIT,,,12,0,12,0,0,,5/8/01 0:00,0,,HAA.23541998SP
HAA.23801998SP,HAA.00001998SP,1998SP,HAA,HAA.2380,HAA.2380,Comp Lit 162: Yiddish Canon,HAA.0000,HAA.0000,S,SWE: School-Wide Electives,,G,Graduate program,NIH,Harvard Cross-Enrollment Prog,Non-MIT,,,1,0,1,0,0,,5/8/01 0:00,0,,HAA.23801998SP
HAA.23911998SP,HAA.00001998SP,1998SP,HAA,HAA.2391,HAA.2391,Modernism in Sci & Tech,HAA.0000,HAA.0000,S,SWE: School-Wide Electives,,G,Graduate program,NIH,Harvard Cross-Enrollment Prog,Non-MIT,,,1,0,1,0,0,,5/8/01 0:00,0,,HAA.23911998SP
HAA.23931998SP,HAA.00001998SP,1998SP,HAA,HAA.2393,HAA.2393,Afro-Am 12:African-Amer Histry,HAA.0000,HAA.0000,S,SWE: School-Wide Electives,,N,Not for graduate credit,NIH,Harvard Cross-Enrollment Prog,Non-MIT,,,12,0,12,0,0,,5/8/01 0:00,0,,HAA.23931998SP
HAA.24021998SP,HAA.00001998SP,1998SP,HAA,HAA.2402,HAA.2402,CS 315: Software Engineering,HAA.0000,HAA.0000,S,SWE: School-Wide Electives,,G,Graduate program,NIH,Harvard Cross-Enrollment Prog,Non-MIT,,,1,0,1,0,0,,5/8/01 0:00,0,,HAA.24021998SP
HAA.24321998SP,HAA.00001998SP,1998SP,HAA,HAA.2432,HAA.2432,Phil 8:History of Modern Phil,HAA.0000,HAA.0000,S,SWE: School-Wide Electives,,N,Not for graduate credit,NIH,Harvard Cross-Enrollment Prog,Non-MIT,,,12,0,12,0,0,,5/8/01 0:00,0,,HAA.24321998SP
HAA.24451998SP,HAA.00001998SP,1998SP,HAA,HAA.2445,HAA.2445,History of Mental Health Polcy,HAA.0000,HAA.0000,S,SWE: School-Wide Electives,,H,Higher level graduate program,NIH,Harvard Cross-Enrollment Prog,Non-MIT,,,12,0,12,0,0,,5/8/01 0:00,0,,HAA.24451998SP
HAA.24541998SP,HAA.00001998SP,1998SP,HAA,HAA.2454,HAA.2454,Topics in Algebraic Geometry,HAA.0000,HAA.0000,S,SWE: School-Wide Electives,,H,Higher level graduate program,NIH,Harvard Cross-Enrollment Prog,Non-MIT,,,12,0,12,0,1,,5/8/01 0:00,1,,HAA.24541998SP
HAA.24611998SP,HAA.00001998SP,1998SP,HAA,HAA.2461,HAA.2461,For Cult 14:Society in India,HAA.0000,HAA.0000,S,SWE: School-Wide Electives,,N,Not for graduate credit,NIH,Harvard Cross-Enrollment Prog,Non-MIT,,,12,0,12,0,0,,5/8/01 0:00,0,,HAA.24611998SP
HAA.24791998SP,HAA.00001998SP,1998SP,HAA,HAA.2479,HAA.2479,Ling 235: German Syntax,HAA.0000,HAA.0000,S,SWE: School-Wide Electives,,G,Graduate program,NIH,Harvard Cross-Enrollment Prog,Non-MIT,,,1,0,1,0,0,,5/8/01 0:00,0,,HAA.24791998SP
HAA.24871998SP,HAA.00001998SP,1998SP,HAA,HAA.2487,HAA.2487,Probability Theory &Stat,HAA.0000,HAA.0000,S,SWE: School-Wide Electives,,H,Higher level graduate program,NIH,Harvard Cross-Enrollment Prog,Non-MIT,,,12,0,12,0,0,,5/8/01 0:00,0,,HAA.24871998SP
HAA.24891998SP,HAA.00001998SP,1998SP,HAA,HAA.2489,HAA.2489,Govt 1300:Congress Power&Pref,HAA.0000,HAA.0000,S,SWE: School-Wide Electives,,H,Higher level graduate program,NIH,Harvard Cross-Enrollment Prog,Non-MIT,,,12,0,12,0,0,,5/8/01 0:00,0,,HAA.24891998SP
HAA.25061998SP,HAA.00001998SP,1998SP,HAA,HAA.2506,HAA.2506,Biochem 182: Embryology,HAA.0000,HAA.0000,S,SWE: School-Wide Electives,,G,Graduate program,NIH,Harvard Cross-Enrollment Prog,Non-MIT,,,1,0,1,0,0,,5/8/01 0:00,0,,HAA.25061998SP
HAA.19821998SP,HAA.00001998SP,1998SP,HAA,HAA.1982,HAA.1982,Russian Politics in Transition,HAA.0000,HAA.0000,S,SWE: School-Wide Electives,,H,Higher level graduate program,NIH,Harvard Cross-Enrollment Prog,Non-MIT,,,12,0,12,0,0,,5/8/01 0:00,0,,HAA.19821998SP
21F.0181998SP,21F.0181998SP,1998SP,21F,21F.018,21F.018,Bilingualism,21F.018,21F.018,,,,N,Not for graduate credit,21F,Foreign Languages/Literatures,"Hum, Arts & Social Sciences",,,12,3,0,9,18,,5/8/01 0:00,18,86CD64959D030327E0440003BACE90BC,21F.0181998SP
